nylat,nylng,nyculmt,chilat,chilng,chiculmt,denlat,denlng,denculmt
nylat,nylng,nyculmt,chilat,chilng,chiculmt,denlat,denlng,denculmt
nyc_lat,nyc_lng,300,chc_lat,chc_lng,350,den_lat,den_lng,450
-74.01470154,40.70394691,575,41.987376,-87.654307,600,39.75402446,-105.0081346,825
-74.01470541,40.70392221,975,41.98736844,-87.65428317,1225,39.75399928,-105.0081236,1125
-74.01470928,40.70389751,1650,41.98735917,-87.65426016,1625,39.75397409,-105.0081125,1600
-74.01470441,40.70387343,2100,41.98734545,-87.65423926,1950,39.75394891,-105.0081015,2050
-74.01469715,40.7038495,2550,41.98732654,-87.65422346,2550,39.75392372,-105.0080905,2650
-74.01468988,40.70382558,3250,41.98730745,-87.65420741,2750,39.75389854,-105.0080794,3350
-74.01468262,40.70380166,3725,41.98728639,-87.65419535,3300,39.75387335,-105.0080684,3575
-74.01467535,40.70377774,4025,41.98726196,-87.65419022,3575,39.75384817,-105.0080573,4000
-74.01466824,40.70375379,4400,41.98723742,-87.654187,4125,39.75382298,-105.0080463,4300
-74.01466613,40.70372888,5025,41.98721243,-87.65418707,4400,39.7537978,-105.0080352,4925
-74.01466403,40.70370397,5300,41.98718768,-87.65419055,4875,39.75377261,-105.0080242,5175
-74.01466193,40.70367906,5825,41.98716331,-87.65419591,5200,39.75374743,-105.0080132,5425
-74.01465982,40.70365415,6350,41.98714004,-87.65420489,5800,39.75372224,-105.0080021,5625
-74.01465772,40.70362923,6900,41.98711613,-87.65421148,6050,39.75369706,-105.0079911,5925
-74.01465561,40.70360432,7600,41.9870914,-87.65421508,6575,39.75367187,-105.00798,6600
-74.01465351,40.70357941,8000,41.98706657,-87.65421599,6800,39.75364669,-105.007969,6900
-74.01466338,40.70355648,8700,41.98704182,-87.65421285,7225,39.7536215,-105.0079579,7550
-74.01467337,40.70353356,9300,41.98701772,-87.6542062,7825,39.75359632,-105.0079469,7850
-74.01468336,40.70351064,9850,41.98699332,-87.65420078,8325,39.75357113,-105.0079359,8475
-74.01469336,40.70348773,10225,41.98696988,-87.65419245,9000,39.75354595,-105.0079248,9050
-74.01470335,40.70346481,10825,41.9869497,-87.6541777,9300,39.75352076,-105.0079138,9475
-74.01471334,40.70344189,11525,41.98693129,-87.65416083,9525,39.75349558,-105.0079027,9750
-74.01472333,40.70341898,11750,41.98691349,-87.65414328,9850,39.75347039,-105.0078917,10025
-74.01473332,40.70339606,11950,41.98689615,-87.65412527,10325,39.7534474,-105.0078774,10350
-74.01474332,40.70337314,12150,41.98687877,-87.65410731,10600,39.75342783,-105.0078581,10925
-74.01475331,40.70335023,12675,41.98686132,-87.65408941,10825,39.75340825,-105.0078388,11150
-74.0147633,40.70332731,13075,41.9868424,-87.65407307,11400,39.75338868,-105.0078194,11575
-74.01476641,40.70330279,13750,41.98682552,-87.65405466,12000,39.7533691,-105.0078001,11950
-74.01476761,40.70327781,14075,41.98680894,-87.65403595,12350,39.75334953,-105.0077808,12225
-74.01476881,40.70325284,14750,41.98679047,-87.6540191,13050,39.75332995,-105.0077615,12925
-74.01477001,40.70322787,15325,41.98677176,-87.65400254,13450,39.75331038,-105.0077422,13325
-74.01477121,40.7032029,15975,41.98675184,-87.65398743,13825,39.7532908,-105.0077229,13825
-74.01477242,40.70317793,16500,41.98673006,-87.65397538,14525,39.75327123,-105.0077036,14050
-74.01477362,40.70315296,16925,41.98670743,-87.65396477,15050,39.75325165,-105.0076842,14700
-74.01477482,40.70312799,17400,41.98668459,-87.6539546,15425,39.75323207,-105.0076649,14925
-74.01477602,40.70310302,17950,41.9866612,-87.65394595,16100,39.7532125,-105.0076456,15150
-74.01477723,40.70307805,18450,41.98663702,-87.65393958,16750,39.75319292,-105.0076263,15800
-74.01477843,40.70305307,18700,41.98661229,-87.65393648,17400,39.75317335,-105.007607,16100
-74.01477963,40.7030281,19325,41.98658738,-87.65393434,17725,39.75315377,-105.0075877,16500
-74.01477325,40.70300423,19700,41.98656316,-87.65392901,18325,39.7531342,-105.0075684,17025
-74.01476499,40.70298064,20350,41.98654533,-87.65391287,18850,39.75311462,-105.007549,17575
-74.01475672,40.70295705,20600,41.9865341,-87.65389069,19325,39.75309505,-105.0075297,18175
-74.01474845,40.70293345,21225,41.98652332,-87.65386816,19975,39.75307547,-105.0075104,18525
-74.01474019,40.70290986,21575,41.98650867,-87.65384837,20475,39.7530559,-105.0074911,19200
-74.01473192,40.70288627,22100,41.98648945,-87.65383273,20950,39.75303632,-105.0074718,19575
-74.01472365,40.70286267,22700,41.98646496,-87.65382774,21450,39.75301675,-105.0074525,19950
-74.01471539,40.70283908,23200,41.98644039,-87.65382727,21925,39.75299959,-105.007431,20175
-74.01470568,40.70281613,23825,41.98642019,-87.65384038,22175,39.75298299,-105.0074091,20500
-74.01469367,40.7027942,24150,41.98640288,-87.65385833,22675,39.75296638,-105.0073872,20750
-74.01468167,40.70277227,24400,41.98639091,-87.65388001,23225,39.75294978,-105.0073653,21425
-74.01466967,40.70275034,25100,41.98638008,-87.65390254,23500,39.75293318,-105.0073433,21925
-74.01465767,40.70272841,25425,41.9863638,-87.65392038,23875,39.75291658,-105.0073214,22225
-74.01464567,40.70270647,25825,41.98633972,-87.65392475,24575,39.75289998,-105.0072995,22450
-74.01463367,40.70268454,26225,41.98631472,-87.65392503,25125,39.75288338,-105.0072776,22725
-74.01462166,40.70266261,26850,41.98628982,-87.65392678,25350,39.75286677,-105.0072556,23075
-74.01460966,40.70264068,27375,41.98626488,-87.65392506,26000,39.75285017,-105.0072337,23650
-74.01459766,40.70261875,27750,41.9862399,-87.65392404,26700,39.75283357,-105.0072118,24025
-74.01458566,40.70259682,28050,41.98621577,-87.65391759,27025,39.75281697,-105.0071899,24550
-74.01457366,40.70257489,28600,41.98619128,-87.65391266,27325,39.75280037,-105.007168,25075
-74.01455797,40.70255584,29300,41.98616797,-87.65390424,27650,39.75278377,-105.007146,25475
-74.01453957,40.70253892,29625,41.98614498,-87.65389453,27900,39.75276716,-105.0071241,26075
-74.01452117,40.70252199,29825,41.98612196,-87.65388502,28600,39.75275056,-105.0071022,26750
-74.01450277,40.70250507,30350,41.98610045,-87.6538723,29275,39.75273396,-105.0070803,27300
-74.01448437,40.70248814,30575,41.98608018,-87.65385774,29650,39.75271736,-105.0070583,27975
-74.01446597,40.70247121,31050,41.98606149,-87.65384114,30200,39.75270076,-105.0070364,28300
-74.01444757,40.70245429,31250,41.9860434,-87.65382392,30775,39.75268416,-105.0070145,28600
-74.01442918,40.70243736,31450,41.98602643,-87.65380557,31075,39.75266755,-105.0069926,29275
-74.01441078,40.70242044,32050,41.98600833,-87.65378833,31775,39.75265095,-105.0069706,29525
-74.01439238,40.70240351,32350,41.98599107,-87.65377026,32275,39.75263434,-105.0069487,30200
-74.01437398,40.70238659,33025,41.98597551,-87.65375077,32900,39.75261762,-105.0069269,30600
-74.01435558,40.70236966,33700,41.98596036,-87.65373099,33575,39.75260091,-105.0069051,31125
-74.01433718,40.70235273,34000,41.985943,-87.653713,34100,39.75258419,-105.0068832,31550
-74.01431878,40.70233581,34200,41.98592473,-87.65369596,34600,39.75256747,-105.0068614,32200
-74.01430038,40.70231888,34625,41.98590826,-87.65367728,35200,39.75255076,-105.0068396,32475
-74.01431621,40.70230192,34975,41.98589,-87.65366067,35625,39.75253404,-105.0068177,32950
-74.01433458,40.70228496,35200,41.98586961,-87.65364627,36300,39.75251732,-105.0067959,33275
-74.01435294,40.70226799,35875,41.98585021,-87.65363054,36525,39.75250061,-105.006774,33775
-74.0143713,40.70225103,36575,41.98582956,-87.65361649,36825,39.75248389,-105.0067522,34100
-74.01438967,40.70223406,37225,41.98581016,-87.65360073,37375,39.75246717,-105.0067304,34700
-74.01440803,40.7022171,37775,41.98579198,-87.6535836,37575,39.75245046,-105.0067085,35150
-74.01442639,40.70220013,38350,41.98577488,-87.65356537,38025,39.75243374,-105.0066867,35600
-74.01444476,40.70218317,38900,41.98575915,-87.65354599,38425,39.75241702,-105.0066649,36300
-74.01446312,40.70216621,39525,41.98574573,-87.65352493,39100,39.75240031,-105.006643,36650
-74.01448148,40.70214924,40150,41.98572951,-87.65350599,39300,39.75238359,-105.0066212,37050
-74.01449985,40.70213228,40825,41.98571601,-87.65348509,39725,39.75236687,-105.0065994,37300
-74.01451821,40.70211531,41200,41.985702,-87.65346443,40225,39.75235016,-105.0065775,37925
-74.01453657,40.70209835,41850,41.98568775,-87.65344389,40750,39.75233344,-105.0065557,38250
-74.01455494,40.70208138,42450,41.98567316,-87.65342361,41350,39.75231672,-105.0065338,38550
-74.0145733,40.70206442,42950,41.98565787,-87.65340383,41825,39.75230001,-105.006512,39025
-74.01459166,40.70204745,43550,41.98564291,-87.6533838,42300,39.75228329,-105.0064902,39350
-74.01461002,40.70203049,43775,41.98562844,-87.65336343,42775,39.75226658,-105.0064683,39575
-74.01462839,40.70201352,43975,41.985615,-87.65334235,43025,39.75224977,-105.0064466,40150
-74.01464675,40.70199656,44200,41.985602,-87.653321,43450,39.7522328,-105.0064249,40675
-74.01466511,40.7019796,44575,41.985595,-87.653297,43675,39.75221584,-105.0064033,41100
-74.01468348,40.70196263,45125,41.98558286,-87.65327514,44375,39.75219887,-105.0063816,41550
-74.01470184,40.70194567,45375,41.98557028,-87.65325354,44575,39.7521819,-105.00636,42050
-74.0147202,40.7019287,45750,41.98555765,-87.65323197,44825,39.75216494,-105.0063384,42300
-74.01473857,40.70191174,46125,41.9855452,-87.6532103,45175,39.75214797,-105.0063167,42850
-74.01475693,40.70189477,46600,41.98553452,-87.65318769,45700,39.75213101,-105.0062951,43200
-74.01477529,40.70187781,46800,41.98552314,-87.65316545,46250,39.75211404,-105.0062734,43425
-74.01479366,40.70186084,47075,41.985511,-87.65314359,46950,39.75209707,-105.0062518,44125
-74.01481202,40.70184388,47300,41.98549923,-87.65312154,47425,39.75208011,-105.0062301,44575
-74.01483038,40.70182692,47800,41.98548801,-87.65309921,48125,39.75206314,-105.0062085,44800
-74.01484875,40.70180995,48225,41.98547748,-87.65307656,48825,39.75204617,-105.0061869,45475
-74.01486711,40.70179299,48825,41.98546516,-87.65305481,49325,39.75202921,-105.0061652,46125
-74.01488547,40.70177602,49100,41.98545352,-87.65303268,49950,39.75201224,-105.0061436,46625
-74.01490384,40.70175906,49350,41.98544196,-87.65301052,50525,39.75199528,-105.0061219,46900
-74.0149222,40.70174209,49875,41.98543031,-87.6529884,51000,39.75197831,-105.0061003,47175
-74.01493868,40.701724,50325,41.98542037,-87.65296548,51350,39.75196134,-105.0060787,47600
-74.01494506,40.70169982,51000,41.98540911,-87.65294334,51925,39.75194438,-105.006057,47825
-74.014958,40.70171212,51525,41.98539433,-87.65292318,52300,39.75192741,-105.0060354,48075
-74.0149724,40.70173256,52175,41.98538084,-87.65290214,52800,39.75191045,-105.0060137,48675
-74.0149868,40.70175299,52650,41.98536726,-87.65288116,53450,39.75189348,-105.0059921,48925
-74.0150012,40.70177343,53000,41.98535307,-87.65286058,54150,39.75187651,-105.0059704,49350
-74.0150156,40.70179386,53575,41.98533937,-87.65283966,54350,39.75185954,-105.0059488,49550
-74.01503,40.7018143,53975,41.98532616,-87.65281844,54600,39.75184257,-105.0059272,50125
-74.0150444,40.70183473,54550,41.98531249,-87.65279754,55275,39.7518256,-105.0059055,50325
-74.0150588,40.70185517,55125,41.98529754,-87.6527775,55675,39.75180862,-105.0058839,50900
-74.0150732,40.70187561,55775,41.9852823,-87.65275769,56275,39.75179165,-105.0058623,51100
-74.01508761,40.70189604,56400,41.98526975,-87.65273609,56750,39.75177468,-105.0058406,51650
-74.01510201,40.70191648,57050,41.98525478,-87.65271611,57375,39.7517577,-105.005819,52325
-74.01511641,40.70193691,57475,41.98523883,-87.65269686,57925,39.75174073,-105.0057973,52700
-74.01513081,40.70195735,57850,41.98522197,-87.65267842,58300,39.75172376,-105.0057757,53350
-74.01514521,40.70197778,58100,41.98520475,-87.65266029,58550,39.75170678,-105.0057541,53950
-74.01515961,40.70199822,58475,41.98518674,-87.65264301,58825,39.75168981,-105.0057324,54600
-74.01517853,40.70201414,58725,41.98516829,-87.65262614,59400,39.75167284,-105.0057108,55250
-74.01519895,40.70202856,59050,41.98515177,-87.6526074,60075,39.75165586,-105.0056892,55825
-74.01521937,40.70204298,59475,41.98513329,-87.65259065,60500,39.75163889,-105.0056675,56425
-74.0152398,40.7020574,60150,41.98511465,-87.65257401,60900,39.75162192,-105.0056459,56675
-74.01526022,40.70207182,60500,41.98509648,-87.65255685,61125,39.75160494,-105.0056242,57200
-74.01528064,40.70208624,60975,41.98507807,-87.65253994,61650,39.75158797,-105.0056026,57775
-74.01530106,40.70210066,61375,41.98506079,-87.65252187,62350,39.751571,-105.005581,58225
-74.01532148,40.70211508,62075,41.98504173,-87.65250573,62800,39.75155402,-105.0055593,58675
-74.01534191,40.7021295,62575,41.98502175,-87.65249071,63300,39.75153705,-105.0055377,59325
-74.01536233,40.70214392,63125,41.98500196,-87.65247545,63525,39.75152008,-105.0055161,59875
-74.01538275,40.70215834,63350,41.98498191,-87.65246052,64150,39.7515031,-105.0054944,60575
-74.01540317,40.70217276,64000,41.98496147,-87.65244615,64475,39.75148613,-105.0054728,60800
-74.01542361,40.70218716,64325,41.98494031,-87.65243282,64725,39.75146952,-105.0054509,61400
-74.01544407,40.70220153,64600,41.98491934,-87.65241922,65125,39.75145294,-105.0054289,61975
-74.01546453,40.70221589,64850,41.98489808,-87.65240605,65700,39.75143637,-105.005407,62675
-74.01548499,40.70223025,65200,41.98487507,-87.6523963,66050,39.75141979,-105.005385,63125
-74.01550545,40.70224462,65425,41.98485428,-87.65238253,66400,39.75140321,-105.0053631,63650
-74.01552592,40.70225898,65825,41.98483333,-87.65236891,66775,39.75138664,-105.0053412,63875
-74.01554638,40.70227334,66525,41.98481179,-87.65235623,67075,39.75137006,-105.0053192,64100
-74.01556684,40.70228771,67025,41.98478971,-87.6523445,67475,39.75135348,-105.0052973,64575
-74.0155873,40.70230207,67400,41.98476753,-87.65233298,68050,39.75133691,-105.0052753,65175
-74.01560776,40.70231644,67900,41.98474526,-87.65232163,68350,39.75132033,-105.0052534,65650
-74.01562823,40.7023308,68200,41.9847229,-87.65231045,69025,39.75130375,-105.0052314,66000
-74.01564869,40.70234516,68775,41.98470197,-87.65229681,69350,39.75128718,-105.0052095,66525
-74.01566915,40.70235953,69275,41.98468066,-87.65228398,69550,39.7512706,-105.0051876,67225
-74.01568961,40.70237389,69575,41.98465727,-87.65227513,69975,39.75125402,-105.0051656,67500
-74.01571002,40.70238833,70000,41.98463471,-87.65226446,70625,39.75123745,-105.0051437,68125
-74.01572994,40.70240343,70525,41.98461259,-87.65225281,71000,39.75122087,-105.0051217,68500
-74.01574986,40.70241853,71175,41.98458999,-87.65224213,71400,39.75120429,-105.0050998,68750
-74.01576979,40.70243364,71500,41.98456785,-87.65223057,71600,39.75118772,-105.0050779,69275
-74.01578971,40.70244874,72075,41.98454636,-87.65221781,72125,39.75117114,-105.0050559,69675
-74.01580963,40.70246384,72650,41.98452453,-87.65220563,72825,39.75115456,-105.005034,70100
-74.01582955,40.70247895,72875,41.98450323,-87.65219263,73050,39.75113799,-105.005012,70425
-74.01584947,40.70249405,73325,41.9844833,-87.65217753,73650,39.75112141,-105.0049901,70925
-74.0158694,40.70250915,73725,41.98446242,-87.65216385,73975,39.75110483,-105.0049681,71375
-74.01588932,40.70252426,74400,41.98444098,-87.65215099,74250,39.7510882,-105.0049462,71800
-74.01590924,40.70253936,74850,41.98442017,-87.65213715,74675,39.75107158,-105.0049243,72500
-74.01592916,40.70255446,75125,41.98439958,-87.65212297,75250,39.75105496,-105.0049024,73025
-74.01594909,40.70256957,75625,41.98437931,-87.65210834,75600,39.75103834,-105.0048805,73225
-74.01596901,40.70258467,75900,41.98435872,-87.6520942,75925,39.75102171,-105.0048586,73525
-74.01598893,40.70259977,76200,41.98433733,-87.65208125,76550,39.75100509,-105.0048367,74150
-74.01600885,40.70261488,76525,41.9843175,-87.65206623,77125,39.75098847,-105.0048148,74725
-74.01602877,40.70262998,77075,41.98429901,-87.65204942,77550,39.75097185,-105.0047929,75075
-74.0160487,40.70264508,77475,41.98427941,-87.6520339,78150,39.75095522,-105.004771,75700
-74.01606862,40.70266018,78075,41.98426057,-87.65201747,78450,39.7509386,-105.0047491,76400
-74.01608624,40.70267717,78500,41.98424153,-87.65200128,78925,39.75092198,-105.0047272,76650
-74.01609709,40.7026997,78925,41.98422213,-87.65198552,79125,39.75090536,-105.0047053,77175
-74.01610794,40.70272222,79450,41.98420252,-87.65197,79375,39.75088873,-105.0046833,77850
-74.01611879,40.70274474,79950,41.98418199,-87.65195575,79950,39.75087211,-105.0046614,78175
-74.01612964,40.70276726,80550,41.98416259,-87.65194005,80550,39.75085549,-105.0046395,78450
-74.01614049,40.70278979,81175,41.98414362,-87.65192378,81050,39.75083887,-105.0046176,79150
-74.01615134,40.70281231,81775,41.98412371,-87.65190868,81275,39.75082224,-105.0045957,79475
-74.01616219,40.70283483,82200,41.98410519,-87.65189193,81750,39.75080562,-105.0045738,79775
-74.01617304,40.70285735,82425,41.98408566,-87.6518764,81950,39.750789,-105.0045519,80225
-74.01618389,40.70287988,82975,41.98406467,-87.65186289,82375,39.75077237,-105.00453,80750
-74.01619474,40.7029024,83175,41.98404448,-87.65184848,83050,39.75075575,-105.0045081,81050
-74.01620559,40.70292492,83875,41.9840249,-87.65183322,83600,39.75073913,-105.0044862,81375
-74.01621644,40.70294744,84400,41.98400604,-87.65181704,83900,39.75072247,-105.0044643,81575
-74.01622729,40.70296997,84925,41.98398697,-87.65180103,84125,39.75070575,-105.0044425,82175
-74.01623814,40.70299249,85125,41.98396702,-87.65178602,84725,39.75068904,-105.0044206,82625
-74.01624899,40.70301501,85450,41.98394819,-87.65176958,85250,39.75067232,-105.0043988,83275
-74.01625984,40.70303754,85725,41.98392634,-87.65175795,85450,39.75065561,-105.004377,83550
-74.01627069,40.70306006,86225,41.98390249,-87.65175084,85725,39.7506389,-105.0043551,84150
-74.01628154,40.70308258,86600,41.98387802,-87.65174569,86325,39.75062218,-105.0043333,84825
-74.01629239,40.7031051,86975,41.9838533,-87.65174332,86975,39.75060547,-105.0043114,85025
-74.01630324,40.70312763,87400,41.98382832,-87.65174392,87225,39.75058875,-105.0042896,85425
-74.01632061,40.70313602,87725,41.9838035,-87.65174091,87500,39.75057204,-105.0042678,85775
-74.01634479,40.70312965,88175,41.98377855,-87.65174,87975,39.75055533,-105.0042459,86450
-74.01636897,40.70312329,88500,41.98375356,-87.65174055,88525,39.75053861,-105.0042241,87150
-74.01639314,40.70311692,89075,41.98372857,-87.651741,88725,39.7505219,-105.0042022,87750
-74.01641732,40.70311056,89675,41.98370357,-87.651741,89075,39.75050518,-105.0041804,88125
-74.0164415,40.7031042,89875,41.98367858,-87.65174152,89375,39.75048847,-105.0041586,88600
-74.01646567,40.70309783,90250,41.98365363,-87.65174093,89875,39.75047176,-105.0041367,89175
-74.01648985,40.70309147,90550,41.98362867,-87.65174,90275,39.75045504,-105.0041149,89525
-74.01651402,40.7030851,90900,41.98360392,-87.65174301,90800,39.75043833,-105.0040931,90075
-74.0165382,40.70307874,91375,41.98357962,-87.6517488,91425,39.75042161,-105.0040712,90325
-74.01656238,40.70307238,91700,41.98355652,-87.65175822,92050,39.7504049,-105.0040494,90800
