nyc_lat,nyc_lng,chc_lat,chc_lng,den_lat,den_lng,race_base,race1,race2,race3,pyfun
-74.01470154,40.70394691,41.987376,-87.654307,39.75402446,-105.0081346,444,523,248,248,
-74.01470541,40.70392221,41.98736844,-87.65428317,39.75399928,-105.0081236,888,990,815,567,
-74.01470928,40.70389751,41.98735917,-87.65426016,39.75397409,-105.0081125,1332,1476,1092,277,
-74.01470441,40.70387343,41.98734545,-87.65423926,39.75394891,-105.0081015,1776,1781,1645,553,
-74.01469715,40.7038495,41.98732654,-87.65422346,39.75392372,-105.0080905,2220,2313,2268,623,
-74.01468988,40.70382558,41.98730745,-87.65420741,39.75389854,-105.0080794,2664,2724,2717,449,
-74.01468262,40.70380166,41.98728639,-87.65419535,39.75387335,-105.0080684,3108,3195,3303,586,
-74.01467535,40.70377774,41.98726196,-87.65419022,39.75384817,-105.0080573,3552,3469,3941,638,
-74.01466824,40.70375379,41.98723742,-87.654187,39.75382298,-105.0080463,3996,4021,4212,271,
-74.01466613,40.70372888,41.98721243,-87.65418707,39.7537978,-105.0080352,4440,4324,4581,369,
-74.01466403,40.70370397,41.98718768,-87.65419055,39.75377261,-105.0080242,4884,4698,4862,281,
-74.01466193,40.70367906,41.98716331,-87.65419591,39.75374743,-105.0080132,5328,5002,5391,529,
-74.01465982,40.70365415,41.98714004,-87.65420489,39.75372224,-105.0080021,5772,5327,5843,452,
-74.01465772,40.70362923,41.98711613,-87.65421148,39.75369706,-105.0079911,6216,5786,6178,335,
-74.01465561,40.70360432,41.9870914,-87.65421508,39.75367187,-105.00798,6660,6086,6462,284,
-74.01465351,40.70357941,41.98706657,-87.65421599,39.75364669,-105.007969,7104,6451,6937,475,
-74.01466338,40.70355648,41.98704182,-87.65421285,39.7536215,-105.0079579,7548,7081,7465,528,
-74.01467337,40.70353356,41.98701772,-87.6542062,39.75359632,-105.0079469,7992,7620,7879,414,
-74.01468336,40.70351064,41.98699332,-87.65420078,39.75357113,-105.0079359,8436,7961,8477,598,
-74.01469336,40.70348773,41.98696988,-87.65419245,39.75354595,-105.0079248,8880,8483,8980,503,
-74.01470335,40.70346481,41.9869497,-87.6541777,39.75352076,-105.0079138,9324,9072,9282,302,
-74.01471334,40.70344189,41.98693129,-87.65416083,39.75349558,-105.0079027,9768,9702,9650,368,
-74.01472333,40.70341898,41.98691349,-87.65414328,39.75347039,-105.0078917,10212,10327,10243,593,
-74.01473332,40.70339606,41.98689615,-87.65412527,39.7534474,-105.0078774,10656,10780,10809,566,
-74.01474332,40.70337314,41.98687877,-87.65410731,39.75342783,-105.0078581,11100,11056,11093,284,
-74.01475331,40.70335023,41.98686132,-87.65408941,39.75340825,-105.0078388,11544,11483,11520,427,
-74.0147633,40.70332731,41.9868424,-87.65407307,39.75338868,-105.0078194,11988,11950,11865,345,
-74.01476641,40.70330279,41.98682552,-87.65405466,39.7533691,-105.0078001,12432,12467,12217,352,
-74.01476761,40.70327781,41.98680894,-87.65403595,39.75334953,-105.0077808,12876,12879,12679,462,
-74.01476881,40.70325284,41.98679047,-87.6540191,39.75332995,-105.0077615,13320,13142,13286,607,
-74.01477001,40.70322787,41.98677176,-87.65400254,39.75331038,-105.0077422,13764,13453,13778,492,
-74.01477121,40.7032029,41.98675184,-87.65398743,39.7532908,-105.0077229,14208,13735,14195,417,
-74.01477242,40.70317793,41.98673006,-87.65397538,39.75327123,-105.0077036,14652,14268,14686,491,
-74.01477362,40.70315296,41.98670743,-87.65396477,39.75325165,-105.0076842,15096,14627,14979,293,
-74.01477482,40.70312799,41.98668459,-87.6539546,39.75323207,-105.0076649,15540,15250,15324,345,
-74.01477602,40.70310302,41.9866612,-87.65394595,39.7532125,-105.0076456,15984,15523,15918,594,
-74.01477723,40.70307805,41.98663702,-87.65393958,39.75319292,-105.0076263,16428,15972,16169,251,
-74.01477843,40.70305307,41.98661229,-87.65393648,39.75317335,-105.007607,16872,16481,16463,294,
-74.01477963,40.7030281,41.98658738,-87.65393434,39.75315377,-105.0075877,17316,16909,16773,310,
-74.01477325,40.70300423,41.98656316,-87.65392901,39.7531342,-105.0075684,17760,17391,17150,377,
-74.01476499,40.70298064,41.98654533,-87.65391287,39.75311462,-105.007549,18204,17757,17773,623,
-74.01475672,40.70295705,41.9865341,-87.65389069,39.75309505,-105.0075297,18648,18136,18122,349,
-74.01474845,40.70293345,41.98652332,-87.65386816,39.75307547,-105.0075104,19092,18475,18506,384,
-74.01474019,40.70290986,41.98650867,-87.65384837,39.7530559,-105.0074911,19536,19073,18790,284,
-74.01473192,40.70288627,41.98648945,-87.65383273,39.75303632,-105.0074718,19980,19415,19243,453,
-74.01472365,40.70286267,41.98646496,-87.65382774,39.75301675,-105.0074525,20424,19730,19884,641,
-74.01471539,40.70283908,41.98644039,-87.65382727,39.75299959,-105.007431,20868,20241,20388,504,
-74.01470568,40.70281613,41.98642019,-87.65384038,39.75298299,-105.0074091,21312,20566,20807,419,
-74.01469367,40.7027942,41.98640288,-87.65385833,39.75296638,-105.0073872,21756,21144,21282,475,
-74.01468167,40.70277227,41.98639091,-87.65388001,39.75294978,-105.0073653,22200,21645,21702,420,
-74.01466967,40.70275034,41.98638008,-87.65390254,39.75293318,-105.0073433,22644,22285,22229,527,
-74.01465767,40.70272841,41.9863638,-87.65392038,39.75291658,-105.0073214,23088,22534,22550,321,
-74.01464567,40.70270647,41.98633972,-87.65392475,39.75289998,-105.0072995,23532,22966,23127,577,
-74.01463367,40.70268454,41.98631472,-87.65392503,39.75288338,-105.0072776,23976,23554,23439,312,
-74.01462166,40.70266261,41.98628982,-87.65392678,39.75286677,-105.0072556,24420,23892,23793,354,
-74.01460966,40.70264068,41.98626488,-87.65392506,39.75285017,-105.0072337,24864,24405,24104,311,
-74.01459766,40.70261875,41.9862399,-87.65392404,39.75283357,-105.0072118,25308,24716,24431,327,
-74.01458566,40.70259682,41.98621577,-87.65391759,39.75281697,-105.0071899,25752,25017,24716,285,
-74.01457366,40.70257489,41.98619128,-87.65391266,39.75280037,-105.007168,26196,25399,25199,483,
-74.01455797,40.70255584,41.98616797,-87.65390424,39.75278377,-105.007146,26640,25781,25628,429,
-74.01453957,40.70253892,41.98614498,-87.65389453,39.75276716,-105.0071241,27084,26129,26267,639,
-74.01452117,40.70252199,41.98612196,-87.65388502,39.75275056,-105.0071022,27528,26691,26833,566,
-74.01450277,40.70250507,41.98610045,-87.6538723,39.75273396,-105.0070803,27972,27212,27281,448,
-74.01448437,40.70248814,41.98608018,-87.65385774,39.75271736,-105.0070583,28416,27718,27574,293,
-74.01446597,40.70247121,41.98606149,-87.65384114,39.75270076,-105.0070364,28860,28184,27876,302,
-74.01444757,40.70245429,41.9860434,-87.65382392,39.75268416,-105.0070145,29304,28714,28517,641,
-74.01442918,40.70243736,41.98602643,-87.65380557,39.75266755,-105.0069926,29748,28959,29053,536,
-74.01441078,40.70242044,41.98600833,-87.65378833,39.75265095,-105.0069706,30192,29355,29323,270,
-74.01439238,40.70240351,41.98599107,-87.65377026,39.75263434,-105.0069487,30636,29849,29796,473,
-74.01437398,40.70238659,41.98597551,-87.65375077,39.75261762,-105.0069269,31080,30120,30298,502,
-74.01435558,40.70236966,41.98596036,-87.65373099,39.75260091,-105.0069051,31524,30635,30937,639,
-74.01433718,40.70235273,41.985943,-87.653713,39.75258419,-105.0068832,31968,31033,31197,260,
-74.01431878,40.70233581,41.98592473,-87.65369596,39.75256747,-105.0068614,32412,31666,31561,364,
-74.01430038,40.70231888,41.98590826,-87.65367728,39.75255076,-105.0068396,32856,32208,31854,293,
-74.01431621,40.70230192,41.98589,-87.65366067,39.75253404,-105.0068177,33300,32491,32343,489,
-74.01433458,40.70228496,41.98586961,-87.65364627,39.75251732,-105.0067959,33744,33107,32901,558,
-74.01435294,40.70226799,41.98585021,-87.65363054,39.75250061,-105.006774,34188,33538,33269,368,
-74.0143713,40.70225103,41.98582956,-87.65361649,39.75248389,-105.0067522,34632,34094,33570,301,
-74.01438967,40.70223406,41.98581016,-87.65360073,39.75246717,-105.0067304,35076,34418,34021,451,
-74.01440803,40.7022171,41.98579198,-87.6535836,39.75245046,-105.0067085,35520,34690,34323,302,
-74.01442639,40.70220013,41.98577488,-87.65356537,39.75243374,-105.0066867,35964,35165,34752,429,
-74.01444476,40.70218317,41.98575915,-87.65354599,39.75241702,-105.0066649,36408,35580,35360,608,
-74.01446312,40.70216621,41.98574573,-87.65352493,39.75240031,-105.006643,36852,36045,35764,404,
-74.01448148,40.70214924,41.98572951,-87.65350599,39.75238359,-105.0066212,37296,36517,36219,455,
-74.01449985,40.70213228,41.98571601,-87.65348509,39.75236687,-105.0065994,37740,37150,36592,373,
-74.01451821,40.70211531,41.985702,-87.65346443,39.75235016,-105.0065775,38184,37457,36899,307,
-74.01453657,40.70209835,41.98568775,-87.65344389,39.75233344,-105.0065557,38628,38015,37412,513,
-74.01455494,40.70208138,41.98567316,-87.65342361,39.75231672,-105.0065338,39072,38463,37675,263,
-74.0145733,40.70206442,41.98565787,-87.65340383,39.75230001,-105.006512,39516,38794,38007,332,
-74.01459166,40.70204745,41.98564291,-87.6533838,39.75228329,-105.0064902,39960,39299,38273,266,
-74.01461002,40.70203049,41.98562844,-87.65336343,39.75226658,-105.0064683,40404,39563,38807,534,
-74.01462839,40.70201352,41.985615,-87.65334235,39.75224977,-105.0064466,40848,40107,39203,396,
-74.01464675,40.70199656,41.985602,-87.653321,39.7522328,-105.0064249,41292,40395,39560,357,
-74.01466511,40.7019796,41.985595,-87.653297,39.75221584,-105.0064033,41736,40680,40050,490,
-74.01468348,40.70196263,41.98558286,-87.65327514,39.75219887,-105.0063816,42180,41226,40597,547,
-74.01470184,40.70194567,41.98557028,-87.65325354,39.7521819,-105.00636,42624,41724,41096,499,
-74.0147202,40.7019287,41.98555765,-87.65323197,39.75216494,-105.0063384,43068,42263,41522,426,
-74.01473857,40.70191174,41.9855452,-87.6532103,39.75214797,-105.0063167,43512,42591,41921,399,
-74.01475693,40.70189477,41.98553452,-87.65318769,39.75213101,-105.0062951,43956,43114,42548,627,
-74.01477529,40.70187781,41.98552314,-87.65316545,39.75211404,-105.0062734,44400,43623,42995,447,
-74.01479366,40.70186084,41.985511,-87.65314359,39.75209707,-105.0062518,44844,44086,43489,494,
-74.01481202,40.70184388,41.98549923,-87.65312154,39.75208011,-105.0062301,45288,44357,43766,277,
-74.01483038,40.70182692,41.98548801,-87.65309921,39.75206314,-105.0062085,45732,44657,44383,617,
-74.01484875,40.70180995,41.98547748,-87.65307656,39.75204617,-105.0061869,46176,44968,44855,472,
-74.01486711,40.70179299,41.98546516,-87.65305481,39.75202921,-105.0061652,46620,45570,45496,641,
-74.01488547,40.70177602,41.98545352,-87.65303268,39.75201224,-105.0061436,47064,45889,46064,568,
-74.01490384,40.70175906,41.98544196,-87.65301052,39.75199528,-105.0061219,47508,46225,46588,524,
-74.0149222,40.70174209,41.98543031,-87.6529884,39.75197831,-105.0061003,47952,46593,47101,513,
-74.01493868,40.701724,41.98542037,-87.65296548,39.75196134,-105.0060787,48396,47085,47415,314,
-74.01494506,40.70169982,41.98540911,-87.65294334,39.75194438,-105.006057,48840,47440,47963,548,
-74.014958,40.70171212,41.98539433,-87.65292318,39.75192741,-105.0060354,49284,48056,48217,254,
-74.0149724,40.70173256,41.98538084,-87.65290214,39.75191045,-105.0060137,49728,48387,48581,364,
-74.0149868,40.70175299,41.98536726,-87.65288116,39.75189348,-105.0059921,50172,48845,48931,350,
-74.0150012,40.70177343,41.98535307,-87.65286058,39.75187651,-105.0059704,50616,49397,49546,615,
-74.0150156,40.70179386,41.98533937,-87.65283966,39.75185954,-105.0059488,51060,49792,49934,388,
-74.01503,40.7018143,41.98532616,-87.65281844,39.75184257,-105.0059272,51504,50291,50449,515,
-74.0150444,40.70183473,41.98531249,-87.65279754,39.7518256,-105.0059055,51948,50918,51064,615,
